,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
166,No,No,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"Education, financial support by family, freedom of movement and migration as a single woman, freedom of choice.",Female,Beyond Secondary School,30
167,No,No,No,Yes,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,,4,,Female,Finished Secondary School,22
168,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,,2,"Good education, supportive husband has helped me to get all of this.",Female,Beyond Secondary School,57
169,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Good after school care & an employer that understood family emergencies & allowed paid time off to address them,Female,Finished Secondary School,58
170,No,No,No,No,No,No,No,No,No,Men sharing equally unpaid domestic work responsibilities,No,No,No,No,Yes,No,,3,"Mentoring
Experience abroad
A male champion of change 
Personal work on self esteem and auto concept",Female,Beyond Secondary School,35
171,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,23
172,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,The support of my family who taught me that I could have the same opportunities and that the hard work give pays off.,Female,Beyond Secondary School,46
173,No,No,No,No,No,Yes,No,No,Yes,,No,No,No,Yes,Yes,No,,3,Support from family,Female,Beyond Secondary School,35
174,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,2,"My own endeavor, determination and will",Female,Beyond Secondary School,35
175,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,No,No,Traditional views around working hours,2,Getting a degree,Female,Beyond Secondary School,39
176,No,No,No,Yes,No,No,No,No,No,"Change the vision about the role of men - at home, express his feelings....",No,No,Yes,No,Yes,No,,2,Determination,Female,Beyond Secondary School,31
177,No,No,No,No,Yes,No,No,Yes,No,,No,No,No,No,Yes,No,,3,My parents supported my education through graduate school and laws protect my right to work without discrimination.,Female,Beyond Secondary School,33
178,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,Not having a family as the expectation of women and men in shared equal family work doesn't not apply often,Female,Finished Secondary School,27
179,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,34
180,No,Yes,No,No,Yes,No,No,No,No,,No,No,Yes,No,No,No,,5,,Female,Beyond Secondary School,21
181,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Finished Secondary School,16
182,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,2,"Education, perseverance and networks. They are very much needed also now that our government is starting to implement the laws degrading women's status in work market  appealing to economics. This is happening in one of the leading countries in promoting equality between men and women, Finland. This global trend of enforcing male dominance is an issue to be adressed decisively.",Female,Finished Secondary School,54
183,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,4,As I look back I can see that growing up in a family focusing on education without gender role separation helped me in my achievements. The expectations from my brother and me were always the same on all levels. I do not have internal gender-related barriers preventing me from moving forward.,Female,Beyond Secondary School,31
184,No,No,No,No,No,No,No,No,No,Cultural change in male dominated jobs,No,No,No,No,Yes,No,,3,Persistence,Female,Beyond Secondary School,49
185,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,3,Myself,Female,Beyond Secondary School,38
186,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,5,,Female,Beyond Secondary School,43
187,No,No,No,No,No,No,No,No,No,Equal pay and more women in positions of power.,No,No,No,No,Yes,No,,2,Mentors.,Female,Beyond Secondary School,23
188,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Some Primary School,17
189,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,Their personal choice,5,,Male,Finished Secondary School,19
190,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,3,My parent's support and my self-determination.,Female,Beyond Secondary School,24
191,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Support from family.,Female,Beyond Secondary School,55
192,No,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,No,Yes,No,,3,My education,Female,Beyond Secondary School,54
193,No,No,Yes,No,No,No,No,No,No,Both men and women understanding that one's abilities is not dependent on or limited by one's gender,No,No,No,No,Yes,No,,4,The possibility to get a good education and parents who believed in me and supported my no matter what.,Female,Beyond Secondary School,21
194,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,31
195,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,Having good quality education and strong femAle leaders in my community .They have shown me it is possible to be a femAle and be on a powerful meaning role in corporate South Africa,Female,Beyond Secondary School,25
196,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,,Female,Finished Primary School,15
197,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,My courage to venture our in a field where few women have been.,Female,Beyond Secondary School,24
198,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,1,My determination to work and study simultaneously as well as my drive and motivation to move forward in life.,Female,Beyond Secondary School,25
199,,No,No,Yes,No,No,No,No,No,Male education about equality,No,No,Yes,No,Yes,No,,5,"Encoragement from my mum and dad, believing in my abilities and also in my right to earn a living and gain security just the same as my brother",Female,Beyond Secondary School,38
200,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,,Female,Beyond Secondary School,32
201,No,No,Yes,No,No,No,No,No,Yes,,Yes,No,Yes,No,No,No,,2,"My university peers,my parents and UN Women",Female,Beyond Secondary School,42
202,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,2,"- Good education where I am encouraged to be creative and independent learner with critical thinking skills.
- Connection",Female,Beyond Secondary School,21
203,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,29
204,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,Education and support of family,Female,Finished Primary School,16
205,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Positive role models; self confidence and family support for me to be anything I want to be,Female,Beyond Secondary School,42
206,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,4,My education,Female,Beyond Secondary School,28
207,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,21
208,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,a large investment in education made by my parents!,Female,Beyond Secondary School,32
209,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,"Although I have just graduated from secondary school but i think that having a good education, reality experiences and my family's supports will help me most in getting a good job, earn more money or start a business.",Male,Beyond Secondary School,18
210,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,2,Education,Male,Beyond Secondary School,51
211,No,No,No,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,4,,Male,Beyond Secondary School,31
212,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,4,Hard Work and availability of resources,Male,Finished Secondary School,24
213,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,22
214,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Male,Beyond Secondary School,35
215,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,45
216,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,17
217,No,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,,Female,Beyond Secondary School,22
218,No,No,No,Yes,No,No,No,No,No,Redistribution of unpaid care work,No,No,Yes,No,Yes,No,,4,My university diploma in IT,Female,Beyond Secondary School,53
219,Yes,No,No,No,No,Yes,No,No,Yes,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,32
220,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,No,Yes,,3,"Education experience however I am 61 and am unable to find work. I think unconscious bias of age and gender is having an impact. 
There is no help for me to find a role",Female,Beyond Secondary School,61
221,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Getting a degree and experience working,Female,Beyond Secondary School,24
222,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,5,"Supportive government and financial system; access to libraries (books, newspapers, information, assistance, Internet access)!",Female,Beyond Secondary School,36
223,No,No,No,No,No,No,Yes,No,No,,No,Yes,No,No,No,No,,1,,Female,Beyond Secondary School,55
224,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"High investment in my education, my family's support, money enough to pay for birth control pills.",Female,Beyond Secondary School,23
225,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,1,,Female,Beyond Secondary School,26
226,Yes,Yes,Yes,No,No,No,No,No,No,skills,No,No,No,No,Yes,No,child bearing,3,my skills and education,Female,Beyond Secondary School,41
227,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,44
228,No,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,My parents provide me a good basic education background and they also encourages me to be self-independent.,Female,Beyond Secondary School,26
229,Yes,Yes,Yes,No,No,No,Yes,No,No,,No,No,No,No,Yes,Yes,,2,Good proper education with good knowledge of internet technology.,Male,Beyond Secondary School,30
230,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Male,Beyond Secondary School,25
231,Yes,Yes,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,25
232,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,Good Education (1st at University)... Although they did keep my pay low for a long time and a male colleague in the same position was earning higher... I know there was discrimination because I was married and they assumed I would have a baby once I started work.,Female,Beyond Secondary School,31
233,No,No,No,Yes,No,No,No,No,No,Women promoting women,No,No,No,No,Yes,No,Lack of an inclusive society,3,Love and belief of my parents; academic credentials and excellent work experience. Strength of character and huge resilience to keep on going when what I wanted to do was curl up and cry when faced with continuous rejection.,Female,Beyond Secondary School,54
234,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,1,"Female must have a stable and firm finance background. Female have a safety environment in school, university and workplace, avoid bullying, sexuality, etc. Female achieve fairness in life, opportunity and society.",Female,Beyond Secondary School,25
235,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,My will power and hard work and dedication,Female,Finished Secondary School,32
236,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,2,Education family support hard work dedication and determination to succeef,Female,Beyond Secondary School,61
237,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,2,"Good education, assertiveness and enhanced life skills",Female,Beyond Secondary School,41
238,No,No,Yes,No,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,,4,"Education, strong mind and examples of successful women",Female,Beyond Secondary School,33
239,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Total perseverance and self confidence,Female,Beyond Secondary School,49
240,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,1,My parents and My own willing power,Female,Beyond Secondary School,44
241,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Support from Family.,Female,Beyond Secondary School,29
242,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,,Female,Beyond Secondary School,27
243,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,strong female mentors/bosses who have been inspirational,Female,Beyond Secondary School,28
244,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,2,"Une bonne éducation, une égalité des chances entre les femmes et les hommes mais aussi la nécessité de permettre aux femmes d'accéder aux mêmes responsabilités que les hommes, avec les memes opportunités, mêmes salaires. Tout cela commence dès le plus jeune age, avec une bonne éducation.",Male,Beyond Secondary School,29
245,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Finished Secondary School,26
246,No,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,No,Yes,No,,3,"Education was the key, as well as mobility opportunities that allowed me to work/do internships in different countries, so that I could acquire knowledge/skills that would not be available in my home country.",Female,Beyond Secondary School,30
247,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,CONTINUOUS EDUCATION,Female,Beyond Secondary School,33
248,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Attending a girls school where we were made to believe we could achieve anything. Strong support of friends and family.,Female,Beyond Secondary School,27
249,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"Connections. The only way I've gotten a job is through connections, particularly other females. That's why it is essential that women have access to other women role models and support!",Female,Beyond Secondary School,26
250,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,4,,Female,Beyond Secondary School,25
251,No,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,No,No,,3,,Male,Beyond Secondary School,28
252,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,4,,Female,Beyond Secondary School,27
253,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,Education and other women's support,Female,Beyond Secondary School,43
254,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,"My own drive and will. A good education, wide work experience and a flexible approach to life. A life time willingness to learn.",Female,Beyond Secondary School,1
255,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,33
256,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,"Contacts, my wit and charm and being able to convince someone that I can and will be able to do the job well. I currently work in an industry that is actually mostly women but in the past I didn't and it would have been much more difficult for me to have gone up within that company. Whereas now I feel as though I have a fair chance. But I know that out of my current industry that isn't the norm.",Female,Beyond Secondary School,31
257,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,1,My education has had a huge impact on my earning ability as well as the connections I've made and the experience I've had.,Female,Beyond Secondary School,56
258,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,4,Supportive parents,Female,Beyond Secondary School,59
259,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,37
260,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,,3,"Education, and confidence that I am capable.",Female,Beyond Secondary School,45
261,No,No,No,No,No,Yes,No,No,No,A combination a good education and a system that breaks taboos about women and their ability to succeed in business,No,No,Yes,No,Yes,No,,3,A combination of a great education which came from my parents being professionals and having the resources to send me to top-tier schools and then of course having the connections from my social circle and through my places of study.,Female,Beyond Secondary School,25
262,No,No,No,No,No,Yes,No,Yes,No,,No,No,No,Yes,Yes,No,,4,,Female,Beyond Secondary School,63
263,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"Good education, determination, paid maternity leave, supportive family",Female,Beyond Secondary School,54
264,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,26
265,No,,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,24
266,Yes,,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"My parents education on me and men being equal and capable of anything I wanted to achieve. My good school education. Traveling and living abroad, studying and working, in my own. Using all my knowledge, skills, experience and personal charm when interviewing or finding clients.",Female,Beyond Secondary School,40
267,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,40
268,Yes,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,No have fears about asking what I really deserve,Female,Beyond Secondary School,28
